"Comunicación","Promedio (s)","Mínimo (s)","Máximo (s)","Desv. Estándar","P95 (s)","P99 (s)","Iteraciones","Descripción"
"frontend carga 20260203","0.000618","0.000428","0.001201","0.000195","0.001201","0.001201","20","Prueba de rendimiento"
"login 20260203","0.003283","0.003015","0.003948","0.000209","0.003948","0.003948","20","Prueba de rendimiento"
"bd consulta simple 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta join 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta compleja 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"backend api productos 20260203","0.001432","0.001086","0.007267","0.001339","0.007267","0.007267","20","Prueba de rendimiento"
"backend api producto by id 20260203","0.001131","0.001093","0.001165","0.000018","0.001165","0.001165","20","Prueba de rendimiento"
"ml health directo 20260203","0.000937","0.000812","0.001053","0.000066","0.001053","0.001053","20","Prueba de rendimiento"
"backend ml health 20260203","0.001499","0.001344","0.001879","0.000120","0.001879","0.001879","20","Prueba de rendimiento"
"backend ml predict 20260203","0.001486","0.001319","0.001823","0.000112","0.001823","0.001823","20","Prueba de rendimiento"
