"Comunicación","Promedio (s)","Mínimo (s)","Máximo (s)","Desv. Estándar","P95 (s)","P99 (s)","Iteraciones","Descripción"
"frontend carga 20260203","0.000618","0.000428","0.001201","0.000195","0.001201","0.001201","20","Prueba de rendimiento"
"frontend carga 20260203","0.000562","0.000463","0.000971","0.000107","0.000971","0.000971","20","Prueba de rendimiento"
"frontend carga 20260206","0.000528","0.000458","0.000623","0.000044","0.000623","0.000623","20","Prueba de rendimiento"
"login 20260203","0.003283","0.003015","0.003948","0.000209","0.003948","0.003948","20","Prueba de rendimiento"
"login 20260203","0.003154","0.002824","0.003767","0.000217","0.003767","0.003767","20","Prueba de rendimiento"
"login 20260206","0.003053","0.002765","0.003593","0.000201","0.003593","0.003593","20","Prueba de rendimiento"
"bd consulta simple 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta simple 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta simple 20260206","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta join 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta join 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta join 20260206","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta compleja 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta compleja 20260203","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"bd consulta compleja 20260206","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","20","Prueba de rendimiento"
"backend api productos 20260203","0.001432","0.001086","0.007267","0.001339","0.007267","0.007267","20","Prueba de rendimiento"
"backend api productos 20260203","0.013005","0.012178","0.014031","0.000552","0.014031","0.014031","20","Prueba de rendimiento"
"backend api productos 20260206","0.013550","0.012326","0.015756","0.000861","0.015756","0.015756","20","Prueba de rendimiento"
"backend api producto by id 20260203","0.001131","0.001093","0.001165","0.000018","0.001165","0.001165","20","Prueba de rendimiento"
"backend api producto by id 20260203","0.004344","0.003902","0.004834","0.000238","0.004834","0.004834","20","Prueba de rendimiento"
"backend api producto by id 20260206","0.004390","0.004005","0.005306","0.000329","0.005306","0.005306","20","Prueba de rendimiento"
"ml health directo 20260203","0.000937","0.000812","0.001053","0.000066","0.001053","0.001053","20","Prueba de rendimiento"
"ml health directo 20260203","0.000962","0.000816","0.001056","0.000055","0.001056","0.001056","20","Prueba de rendimiento"
"ml health directo 20260206","0.000962","0.000826","0.001123","0.000089","0.001123","0.001123","20","Prueba de rendimiento"
"backend ml health 20260203","0.001499","0.001344","0.001879","0.000120","0.001879","0.001879","20","Prueba de rendimiento"
"backend ml health 20260203","0.001449","0.001281","0.001647","0.000083","0.001647","0.001647","20","Prueba de rendimiento"
"backend ml health 20260206","0.001486","0.001282","0.001787","0.000143","0.001787","0.001787","20","Prueba de rendimiento"
"backend ml predict 20260203","0.001486","0.001319","0.001823","0.000112","0.001823","0.001823","20","Prueba de rendimiento"
"backend ml predict 20260203","0.001475","0.001339","0.001765","0.000104","0.001765","0.001765","20","Prueba de rendimiento"
"backend ml predict 20260206","0.001387","0.001241","0.001523","0.000085","0.001523","0.001523","20","Prueba de rendimiento"
